date,X,Y,Z,DB,a,pos
2016-07-30 14:41:07:355,9.500194,0.574608,-4.386177,52.58809,0.669618746244,-0.0125177620085
2016-07-30 14:41:07:856,9.002198,0.612916,-4.759673,52.25469,0.391456852881,-0.0150924826916
2016-07-30 14:41:08:355,8.63828,0.019154,-4.367024,52.34351,-0.130581275165,-0.016846468365
2016-07-30 14:41:08:855,9.308656,0.555455,-4.874594,50.60436,0.712417661745,-0.0179395799835
2016-07-30 14:41:09:356,8.82024,0.335188,-4.34787,48.47103,0.0293576106291,-0.018329876433
2016-07-30 14:41:09:855,9.040506,0.316035,-4.434061,47.45719,0.264300164725,-0.0177849125772
2016-07-30 14:41:10:355,9.011776,0.306458,-4.692635,44.55037,0.354981378397,-0.0159478893128
2016-07-30 14:41:10:856,8.446744,0.134075,-4.213795,45.52101,-0.36958006182,-0.0124449975924
2016-07-30 14:41:11:355,9.595962,0.526724,-4.663905,48.69802,0.872318789787,-0.00701116996108
2016-07-30 14:41:11:856,9.11712,0.268151,-4.941632,44.33992,0.563693116563,0.000393247078107
2016-07-30 14:41:12:355,8.274361,0.047884,-4.453215,47.45619,-0.413273619393,0.00950166006213
